,Arrival Time,Inter Arrival Time(in minutes),Rounded_Inter_Arrival_Time(min),Time Period,No. of Patients,Arrival_Cumulative,Patients arrival per minutes,Time(According to collecting system length (n),Time Interval,LAMBDA,,Sl. No.,Service Time (IN),Service Time (OUT),AM/PM,Inter-Service Time (In Minutes),Time Period,No. of Patients,No. of Patients Per min.,No. of patients (Cumulative)= Y(t),Time (According to the collection of system length n),Time Interval,Mu,,Time,Queue 1,Queue 2,Queue 3,Queue 4,System Length(n),Total Queue Length,,,,,,time,Patients,t (min),Cumulative Patients  N(t),lambda(t) = N(t)/t,Expected Lambda,lam,, Time Interval,Patients,Patients Interval,Frequency,Cumulative Patients,#############,Service Rate on time,,
43,8:51:10,0.2,0.2,,,,,,,,,43,9:03:00,9:04:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,8:51:19,0.15,0.15,,,,,,,,,44,9:03:00,9:04:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,8:51:30,0.183333333,0.1833,,,,,,,,,45,9:03:00,9:05:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,8:51:35,0.083333333,0.0833,,,,,,,,,46,9:04:00,9:05:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,8:51:39,0.066666667,0.0667,,,,,,,,,47,9:05:00,9:06:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,8:51:46,0.116666667,0.1167,,,,,,,,,48,9:05:00,9:06:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8:52:24,0.633333333,0.6333,,,,,,,,,49,9:06:00,9:07:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,8:53:07,0.716666667,0.7167,,,,,,,,,50,9:06:00,9:08:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,8:53:46,0.65,0.65,,,,,,,,,51,9:07:00,9:10:00,AM,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,8:54:11,0.416666667,0.4167,,,,,,,,,52,9:08:00,9:09:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,8:54:26,0.25,0.25,,,,,,,,,53,9:08:00,9:10:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,8:54:43,0.283333333,0.2833,,,,,,,,,54,9:10:00,9:11:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,8:54:56,0.216666667,0.2167,,,,,,,,,55,9:11:00,9:12:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,8:55:27,0.516666667,0.5167,,,,,,,,,56,9:11:00,9:13:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,8:55:56,0.483333333,0.4833,,,,,,,,,57,9:11:00,9:13:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,8:56:02,0.1,0.1,,,,,,,,,58,9:12:00,9:14:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,8:56:13,0.183333333,0.1833,,,,,,,,,59,9:13:00,9:15:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,8:56:34,0.35,0.35,,,,,,,,,60,9:11:00,9:14:00,AM,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,8:56:45,0.183333333,0.1833,,,,,,,,,61,9:14:00,9:14:40,AM,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,8:58:55,2.166666667,2.1667,,,,,,,,,62,9:14:00,9:16:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,9:00:20,1.416666667,1.4167,,,,,,,,,63,9:14:50,9:16:00,AM,1.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,9:00:49,0.483333333,0.4833,,,,,,,,,64,9:15:00,9:16:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,9:01:30,0.683333333,0.6833,,,,,,,,,65,9:16:00,9:17:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,9:02:51,1.35,1.35,,,,,,,,,66,9:18:00,9:19:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,9:03:12,0.35,0.35,,,,,,,,,67,9:19:00,9:21:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,9:03:19,0.116666667,0.1167,,,,,,,,,68,9:21:00,9:22:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,9:03:28,0.15,0.15,,,,,,,,,69,9:22:00,9:23:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,9:03:34,0.1,0.1,,,,,,,,,70,9:22:00,9:24:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,9:03:45,0.183333333,0.1833,,,,,,,,,71,9:23:00,9:24:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,9:03:57,0.2,0.2,,,,,,,,,72,9:24:00,9:26:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,9:04:10,0.216666667,0.2167,,,,,,,,,73,9:24:00,9:27:00,AM,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,9:04:25,0.25,0.25,,,,,,,,,74,9:26:00,9:28:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,9:04:33,0.133333333,0.1333,,,,,,,,,75,9:27:00,9:28:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,9:04:42,0.15,0.15,,,,,,,,,76,9:28:00,9:29:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,9:04:58,0.266666667,0.2667,,,,,,,,,77,9:28:00,9:30:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,9:05:30,0.533333333,0.5333,,,,,,,,,78,9:29:00,9:30:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,9:06:30,1,1,,,,,,,,,79,9:30:00,9:30:30,AM,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,9:06:35,0.083333333,0.0833,,,,,,,,,80,9:30:00,9:31:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,9:06:51,0.266666667,0.2667,,,,,,,,,81,9:30:40,9:32:00,AM,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,9:07:13,0.366666667,0.3667,,,,,,,,,82,9:31:00,9:33:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,9:07:22,0.15,0.15,,,,,,,,,83,9:32:00,9:34:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,9:07:39,0.283333333,0.2833,,,,,,,,,84,9:33:00,9:35:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,9:07:50,0.183333333,0.1833,,,,,,,,,85,9:34:00,9:35:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,9:08:14,0.4,0.4,,,,,,,,,86,9:35:00,9:36:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,9:08:20,0.1,0.1,,,,,,,,,87,9:35:00,9:36:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,9:08:34,0.233333333,0.2333,,,,,,,,,88,9:36:00,9:37:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,9:08:41,0.116666667,0.1167,,,,,,,,,89,9:36:00,9:38:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,9:08:50,0.15,0.15,,,,,,,,,90,9:37:00,9:39:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,9:09:20,0.5,0.5,,,,,,,,,91,9:38:00,9:40:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,9:09:29,0.15,0.15,,,,,,,,,92,9:40:00,9:42:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,9:09:35,0.1,0.1,,,,,,,,,93,9:40:00,9:42:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,9:09:54,0.316666667,0.3167,,,,,,,,,94,9:42:00,9:43:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,9:10:30,0.6,0.6,,,,,,,,,95,9:42:00,9:43:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,9:10:51,0.35,0.35,,,,,,,,,96,9:43:00,9:44:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,9:11:08,0.283333333,0.2833,,,,,,,,,97,9:43:00,9:44:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,9:11:15,0.116666667,0.1167,,,,,,,,,98,9:43:00,9:45:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,9:11:22,0.116666667,0.1167,,,,,,,,,99,9:44:00,9:46:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,9:11:29,0.116666667,0.1167,,,,,,,,,100,9:45:00,9:47:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9:11:36,0.116666667,0.1167,,,,,,,,,101,9:46:00,9:47:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,9:11:45,0.15,0.15,,,,,,,,,102,9:47:00,9:48:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,9:11:54,0.15,0.15,,,,,,,,,103,9:47:00,9:48:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,9:12:13,0.316666667,0.3167,,,,,,,,,104,9:48:00,9:50:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,9:12:23,0.166666667,0.1667,,,,,,,,,105,9:48:00,9:50:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,9:12:33,0.166666667,0.1667,,,,,,,,,106,9:50:00,9:52:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,9:12:49,0.266666667,0.2667,,,,,,,,,107,9:50:00,9:52:00,AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,9:13:26,0.616666667,0.6167,,,,,,,,,108,9:52:00,9:53:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,9:13:34,0.133333333,0.1333,,,,,,,,,109,9:52:00,9:53:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,9:13:53,0.316666667,0.3167,,,,,,,,,110,9:53:00,9:53:40,AM,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,9:14:29,0.6,0.6,,,,,,,,,111,9:53:00,9:53:50,AM,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,9:14:49,0.333333333,0.3333,,,,,,,,,112,9:53:50,9:54:50,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,9:15:21,0.533333333,0.5333,,,,,,,,,113,9:53:55,9:54:40,AM,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,9:15:30,0.15,0.15,,,,,,,,,114,9:55:00,9:56:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,9:15:46,0.266666667,0.2667,,,,,,,,,115,9:54:50,9:56:00,AM,1.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,9:16:09,0.383333333,0.3833,,,,,,,,,116,9:56:00,9:56:30,AM,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,9:16:22,0.216666667,0.2167,,,,,,,,,117,9:56:00,9:57:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,9:16:32,0.166666667,0.1667,,,,,,,,,118,9:56:40,9:58:00,AM,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,9:16:53,0.35,0.35,,,,,,,,,119,9:57:00,9:58:00,AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
